Mol_No,SMILES,actual,predict
8,ClCC(Cl)Cl,5.3,8.569499999999987
16,CC(Cl)Cl,7.8,7.235999999999999
17,ClC(Cl)=C,5.2,7.014499999999983
19,CC=C(Cl)Cl,6.7,6.133416666666667
26,Cc1ccc(C)c(C)c1C,0.5,2.4810000000000003
32,Clc1cc(Cl)c(Cl)cc1Cl,10.7,5.5816666666666706
35,Cl\C=C\Br,6.6,7.158250000000004
36,OC1CCCCC1O,9.8,5.903749999999998
37,O=C1CCCCC1=O,10.3,10.864000000000003
38,BrC=CBr,4.9,6.531949999999999
45,Oc1ccccc1O,11.3,6.825999999999996
48,C=C1CO1,8.6,5.325041666666667
50,C1Oc2ccccc2O1,6.7,4.800833333333337
53,Oc1cccc(O)c1,8.1,7.577000000000006
103,CCCCCCCCCCO,4.7,3.8080000000000043
111,COC=CC=C,8.3,4.423999999999996
115,Cc1cccc2ccccc12,0.8,3.2674999999999987
119,CCCCCCCCCO,4.8,3.8570000000000038
124,CCCC=C,1.4,4.106499999999993
127,CCCCCCCCCCCCC=C,0.5,0.949
142,ClCC(Cl)=C,7.8,7.772499999999999
149,Nc1ccc(Cl)cc1Cl,6.2,5.868666666666668
150,Clc1ccc(C=O)c(Cl)c1,8.8,8.703500000000014
151,[O-][N+](=O)c1ccc(Cl)cc1Cl,8.7,8.518500000000012
152,Oc1ccc(Cl)cc1Cl,7.2,6.749000000000003
154,Cc1ccc(N)c(C)c1,5.2,6.188999999999994
157,Oc1cc(Cl)ccc1Cl,6.3,6.841500000000004
159,COC1CCC(OC)O1,7.2,5.897074999999997
160,Cc1[nH]c(C)cc1,7.6,6.4385
162,Cn1cnc2nc(Cl)nc(Cl)c12,11.7,11.716000000000003
171,OCC(Br)=C,9.9,9.484499999999999
175,Brc1sccc1,5.2,6.468233333333333
180,N#CC#CC#N,16.2,13.917000000000007
190,CC(=O)OCCCl,9.6,4.589000000000004
191,ClCCc1ccccc1,6.3,7.19599999999999
194,Oc1ccccc1Cl,5.5,6.850500000000002
207,CCCCC(CC)CO,3.3,5.440499999999997
225,Cc1occc1,2.8,3.6739999999999986
226,CC(CO)[N+]([O-])=O,13.7,12.249999999999991
229,CCCCCCC(C)O,4.9,5.105999999999989
232,OCCOc1ccccc1,5.7,6.303499999999993
245,[O-][N+](=O)c1ccc(Cl)c(Cl)c1,7.2,9.334499999999997
253,C=CCN=[N+]=[N-],7.7,7.814500000000006
255,C=CCC#N,14.3,13.170000000000002
262,ClCCC#N,15.9,11.82400000000002
263,ClCC#C,7.4,7.083499999999994
282,CC(=O)c1ccc(cc1)C(F)(F)F,6.1,8.885999999999997
283,Nc1ccncc1,16.1,9.010249999999992
287,Cc1ccc(Cl)cc1[N+]([O-])=O,11.8,9.211000000000002
297,CCC1COC(=O)O1,9.8,16.383500000000005
301,OC(=O)C=Cc1ccc(O)cc1,6.7,6.278416666666669
303,COc1ccc(cc1)C(C)=O,11.2,8.154499999999995
304,COc1ccc(cc1)C#N,16.7,10.975000000000001
313,[O-][N+](=O)c1ccc(Br)cc1C(F)(F)F,6.0,9.6265
320,CC(N)=O,18.7,13.296999999999976
322,CC(O)=O,8.0,8.459750000000012
341,C=CC#N,12.8,12.144499999999999
353,ClCC=C,6.2,7.304500000000001
364,COCC=C,4.3,4.990999999999996
372,COc1ccc(C=O)cc1,11.9,10.150500000000006
374,COc1ccccc1,4.4,4.194999999999994
399,c1ccc(cc1)c2ccccc2,1.0,4.754999999999995
403,Oc1ccc(cc1)[S](=O)(=O)c2ccc(O)cc2,14.6,13.841500000000014
407,BrC#C,9.9,5.785361904761901
414,ClC(Cl)(Cl)Br,8.1,5.065501190476191
419,CCCC,0.0,4.542249999999994
421,CCCCOC(=O)c1ccccc1,5.6,5.025209523809526
437,[nH]1c2ccccc2c3ccccc13,6.4,6.5695
443,O=C(C#N)C#N,6.3,12.041500000000012
452,ClCC#N,13.6,11.736000000000017
469,O=C1Oc2ccccc2C=C1,12.5,16.213500000000014
470,C/C=C/C=O,14.9,11.288166666666669
472,O=C1OCC=C1,19.8,16.13400000000001
476,ClC#N,14.5,11.442000000000018
480,C1CCCCCC1,1.4,0.11800000000000001
489,NC1CCCCC1,3.1,1.4555000000000007
496,COC1CCCC1,4.3,3.0320000000000005
503,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,5.5,5.487016666666673
505,CCCCCCCCCC,0.0,0.11599999999999999
509,ClCCOCOCCCl,10.2,7.894500000000013
511,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,5.0,3.9055000000000035
515,CCCCC(CC)COCC(CC)CCCC,2.6,3.5069999999999952
517,CC(C)CC(=O)CC(C)C,3.7,6.601500000000003
537,C(OCc1ccccc1)c2ccccc2,3.4,4.114999999999996
546,OC(=O)C(Cl)Cl,8.1,7.931583333333339
569,CCOCCOCCOCC,5.9,4.886499999999991
571,CCCCCCOCCOCCO,6.0,5.3026428571428585
574,CCOCCOCCO,9.2,6.248000000000008
579,CCCCCC(CC)(CC)OC(=O)c1ccccc1C([O-])=O,7.0,6.819500000000001
586,C=C1CC(=O)O1,14.5,15.851500000000005
