Mol_No,SMILES,actual,predict
4,ClC(Cl)C(Cl)Cl,5.3,3.6579999999999995
11,CC(OCC=C)OCC=C,4.8,5.273500000000004
15,CC(=O)C(Cl)Cl,5.4,5.7099999999999955
18,CCC(Cl)Cl,3.5,4.13576666666666
22,CC(F)F,2.9,3.0300000000000007
24,COC(C)OC,4.9,5.953000000000002
28,[nH]1nnc2ccccc12,12.4,8.535500000000004
41,CC(Cl)=CCl,2.9,3.5897999999999963
42,FC(F)(Cl)C(F)(F)Cl,0.0,0.5860000000000001
46,COc1ccccc1OC,9.4,6.58600000000001
52,C1OCOCO1,8.6,7.197875000000003
57,Cl/C=C/C=C,2.0,2.6399999999999983
61,Fc1c(Cl)cccc1Cl,2.7,3.837000000000005
68,OCCCCO.OC(=O)C=C.OC(=O)C=C,4.2,16.035500000000027
73,C1COCCO1,9.0,9.280200000000004
74,C1COCCO1,7.8,9.280200000000004
75,C1CSCCO1,7.7,7.217200000000006
85,CCCCS,4.5,4.374000000000005
89,CCCCCCl,1.9,1.573000000000001
93,CCC(Cl)[N+]([O-])=O,4.5,4.909000000000003
99,CCCCCl,2.0,2.4174999999999995
102,CC=CCl,2.2,2.6785999999999976
105,CCOC(C)OCC(C)O,6.0,11.139499999999996
108,CCCCCC=C,2.6,2.4544999999999972
114,Cn1ccnc1,11.2,7.3765
116,COC(C)=C,5.6,4.64125
117,Oc1cccc2ccccc12,12.3,13.786291666666672
126,CCCO,17.4,12.847500000000014
132,ClC1(Cl)CCCC(Cl)(Cl)C1=O,6.3,5.362500000000004
153,[O-][N+](=O)c1ccc(F)cc1F,3.7,3.910000000000002
164,Oc1c(Cl)cccc1Cl,10.9,13.606750000000007
167,Cc1cccc(C)c1O,12.9,13.456000000000001
169,CC(=O)c1sccc1,9.3,5.116500000000002
173,CCC(C)Br,4.4,4.7509999999999994
176,CCC(C)O,14.5,11.868000000000002
179,COCC=CC,5.0,5.794999999999999
185,Cc1ccc(Cl)c(O)c1,13.1,11.713833333333325
188,CCC(C)Cl,2.0,3.226766666666661
193,CCSCCCl,6.1,2.9148999999999976
195,ClC(=C)C=O,8.1,5.372375000000001
203,CCCCCCOC(=O)c1ccccc1C(=O)OCC,6.8,4.172416666666675
214,CC1CCCCC1O,12.5,11.832
217,CC1CCCO1,4.3,7.881250000000002
222,CCCC(C)CO,13.5,13.228500000000013
234,CC1=CCC2CC1C2(C)C,3.1,2.697000000000003
236,CC(C)O,16.4,12.006500000000006
257,OCC=CCl,16.5,16.59050000000001
264,CCOCCC=O,7.4,8.367500000000014
267,COC(C)CCO,13.6,12.844500000000004
268,COC(C)CCOC(C)=O,8.1,8.225999999999992
271,CC=CCO,15.5,13.633500000000003
272,CC1CCCC(O)C1,12.5,8.81575
278,COC(C)(C)CCOC(C)=O,7.7,8.361999999999988
284,BrC[CH]=[C]=[CH2],4.7,5.669750000000006
300,Oc1ccc(C=O)cc1,14.5,14.737500000000026
324,CC(C)=O,7.0,5.779500000000002
326,CON=C(C)C,4.6,7.443000000000004
335,C#C.C#C,11.9,4.8385000000000025
338,C=CC=O,8.6,8.805499999999995
340,OC(=O)C=C,10.0,10.942026190476202
349,CC(=O)CC(=O)OCC=C,8.6,7.745500000000002
356,FCC=C,1.0,3.3994999999999966
366,Cc1ccc(F)c(F)c1F,0.0,1.9980000000000002
368,CC(N)Cc1ccccc1,6.3,7.585999999999985
369,CCCCCOC(C)=O,6.1,5.899500000000001
375,OCC(O)C1OC(=C(O)C1=O)O,25.5,18.589000000000013
383,OC(=O)c1ccccc1,10.8,6.325000000000005
393,O=C(OCc1ccccc1)c2ccccc2,5.2,6.053000000000004
395,ClCc1ccccc1,2.6,2.4984999999999973
396,CCOCc1ccccc1,3.8,4.374000000000006
412,COCBr,7.0,6.1155
416,C=C\C=C/C#N,5.2,6.550999999999983
417,C1OC1C2CO2,6.2,7.558375000000007
426,CCCCCCCCCCCCCCCCCC(=O)OCCCC,3.5,5.217750000000007
431,CCCC(=O)OC(=O)CCC,4.5,6.108000000000008
434,Cn1cnc2N(C)C(=O)N(C)C(=O)c12,13.0,7.141500000000004
444,O=C=S,0.0,5.788000000000007
446,ClC(Cl)(Cl)C=O,7.6,6.8190000000000035
454,ClC#C,2.5,3.231499999999999
456,ClC1CC1,2.2,2.9124999999999988
468,COc1cc(/C=C/CO)ccc1O,16.3,15.02449999999999
