Mol_No,SMILES,actual,predict
2,CC(F)(F)F,10.0,2.5844169
3,BrC(Br)C(Br)Br,7.0,5.963048
6,BrC=C(Br)Br,9.4,6.8638773
12,CC(Br)Br,8.4,6.295494
25,CN(C)N,5.9,7.7966833
27,Cc1cc(C)c(C)c(C)c1,0.5,3.7922294
30,ClCC(Cl)=CCl,7.8,8.1731415
39,ClC=CCl,8.0,7.383713
43,CCOC(Cl)=CCl,10.5,7.2387614
47,[O-][N+](=O)c1ccccc1[N+]([O-])=O,11.6,11.00576
55,C=CC=C,2.8,5.3947067
60,CC(Cl)=CCCl,7.8,7.702111
63,COCCC(C)OC,5.5,4.802172
66,O=[S]1(=O)CCCO1,16.0,14.781594
67,OCCCO,13.5,8.527171
72,Oc1ccc(O)cc1,10.2,6.6234236
76,ClCCCCCCl,7.8,7.351612
78,OCCCCCCCCCO,7.0,8.527171
83,Brc1cccc2ccccc12,3.1,5.5780907
92,CC(Cl)[N+]([O-])=O,13.5,13.149308
100,CCCCCCCl,6.2,5.6480036
106,CCOC(=C)CC,4.2,3.5764716
110,CCCCC=C,1.1,1.1874375
120,CCCCCCCC=C,1.0,-0.052793365
129,OCC(F)(F)F,8.3,6.56479
135,o1ccc2ccccc12,5.1,2.859962
136,OC[CH]=[C]=[CH2],6.6,7.9299035
138,BrCC(Br)=C,11.8,6.0626845
139,ClC(=C)C(Cl)=C,2.3,7.047001
141,OCC(Cl)CCl,9.2,14.0751915
178,CC=CC,0.0,3.7402787
182,CC(Cl)=C,6.7,6.0067
184,Cc1ccc(N)c(Cl)c1,7.4,6.0550756
211,COC1CCCCO1,6.6,2.8906968
213,C\C=C/C(O)=O,5.2,8.029055
215,CC1CCCCC1=O,7.8,10.398383
224,CC=C(C)C,2.0,6.336443
227,CC(C)[N+]([O-])=O,12.1,12.928624
237,OCC#C,8.7,7.4589276
239,Cc1ccc(O)c(c1)C(C)(C)C,3.7,8.923901
242,Cc1ccccc1C=C,1.0,2.0771625
