,0,1,2,3,4,5,6
0,4,4,4,ClC(Cl)C(Cl)Cl,4,18.8,17.74788
1,11,11,11,CC(OCC=C)OCC=C,11,15.4,14.634759
2,15,15,15,CC(=O)C(Cl)Cl,15,17.1,16.615118
3,18,18,18,CCC(Cl)Cl,18,16.1,16.516285
4,22,22,22,CC(F)F,22,14.9,14.3071785
5,24,24,24,COC(C)OC,24,15.1,15.332196
6,28,28,28,[nH]1nnc2ccccc12,28,18.7,20.33529
7,41,41,41,CC(Cl)=CCl,41,17.0,16.593138
8,42,42,42,FC(F)(Cl)C(F)(F)Cl,42,12.6,14.783275
9,46,46,46,COc1ccccc1OC,46,19.2,18.8045
10,52,52,52,C1OCOCO1,52,18.7,17.017189
11,57,57,57,Cl/C=C/C=C,57,15.6,16.756475
12,61,61,61,Fc1c(Cl)cccc1Cl,61,19.4,19.6056
13,68,68,68,OCCCCO.OC(=O)C=C.OC(=O)C=C,68,16.8,16.457129
14,73,73,73,C1COCCO1,73,17.5,16.681162
15,74,74,74,C1COCCO1,74,17.1,16.681162
16,75,75,75,C1CSCCO1,75,19.0,18.619215
17,85,85,85,CCCCS,85,16.3,15.873529
18,89,89,89,CCCCCCl,89,16.0,16.741896
19,93,93,93,CCC(Cl)[N+]([O-])=O,93,16.8,16.530504
20,99,99,99,CCCCCl,99,16.2,16.368757
21,102,102,102,CC=CCl,102,15.3,16.401749
22,105,105,105,CCOC(C)OCC(C)O,105,15.4,15.624034
23,108,108,108,CCCCCC=C,108,15.0,15.125178
24,114,114,114,Cn1ccnc1,114,19.7,17.145456
25,116,116,116,COC(C)=C,116,14.8,15.228828
26,117,117,117,Oc1cccc2ccccc12,117,19.7,19.887634
27,126,126,126,CCCO,126,16.0,15.662875
28,132,132,132,ClC1(Cl)CCCC(Cl)(Cl)C1=O,132,19.5,19.255377
29,153,153,153,[O-][N+](=O)c1ccc(F)cc1F,153,19.4,19.198097
30,164,164,164,Oc1c(Cl)cccc1Cl,164,20.1,19.9037
31,167,167,167,Cc1cccc(C)c1O,167,19.1,18.883604
32,169,169,169,CC(=O)c1sccc1,169,19.1,18.622093
33,173,173,173,CCC(C)Br,173,16.3,18.07522
34,176,176,176,CCC(C)O,176,15.8,15.624034
35,179,179,179,COCC=CC,179,15.2,15.6827545
36,185,185,185,Cc1ccc(Cl)c(O)c1,185,19.0,19.565908
37,188,188,188,CCC(C)Cl,188,15.8,16.368513
