Mol_No,SMILES,actual,predict
4,ClC(Cl)C(Cl)Cl,5.1,6.4395027
11,CC(OCC=C)OCC=C,5.1,3.6932733
15,CC(=O)C(Cl)Cl,7.6,9.6203785
18,CCC(Cl)Cl,7.8,5.0311327
22,CC(F)F,9.3,5.1910005
24,COC(C)OC,4.9,5.025879
28,[nH]1nnc2ccccc12,15.6,12.732862
41,CC(Cl)=CCl,8.5,7.186828
42,FC(F)(Cl)C(F)(F)Cl,1.8,3.157541
46,COc1ccccc1OC,4.4,6.2342134
52,C1OCOCO1,9.2,6.8886003
57,Cl/C=C/C=C,8.5,6.640899
61,Fc1c(Cl)cccc1Cl,9.1,6.143479
68,OCCCCO.OC(=O)C=C.OC(=O)C=C,9.1,8.364471
73,C1COCCO1,1.8,7.49732
74,C1COCCO1,6.8,7.49732
75,C1CSCCO1,6.6,9.237206
85,CCCCS,5.3,2.7929657
89,CCCCCCl,6.9,7.689524
93,CCC(Cl)[N+]([O-])=O,13.0,9.851169
99,CCCCCl,5.5,5.240922
102,CC=CCl,6.9,6.9507866
105,CCOC(C)OCC(C)O,6.3,5.6654825
108,CCCCCC=C,1.1,1.3545464
114,Cn1ccnc1,15.6,10.155084
116,COC(C)=C,4.2,4.572972
117,Oc1cccc2ccccc12,6.3,5.2457914
126,CCCO,6.8,6.2778187
132,ClC1(Cl)CCCC(Cl)(Cl)C1=O,14.0,9.891256
153,[O-][N+](=O)c1ccc(F)cc1F,11.0,10.576716
164,Oc1c(Cl)cccc1Cl,7.5,7.2094975
167,Cc1cccc(C)c1O,4.9,4.5983405
169,CC(=O)c1sccc1,12.2,9.874326
173,CCC(C)Br,7.7,5.829992
176,CCC(C)O,5.7,4.464099
179,COCC=CC,3.4,4.5053816
185,Cc1ccc(Cl)c(O)c1,7.7,7.2094975
188,CCC(C)Cl,7.6,4.6949387
193,CCSCCCl,5.0,6.5980253
195,ClC(=C)C=O,12.9,9.90504
203,CCCCCCOC(=O)c1ccccc1C(=O)OCC,6.2,7.57512
214,CC1CCCCC1O,6.5,6.350116
217,CC1CCCO1,5.0,6.0262437
222,CCCC(C)CO,4.9,5.6599903
234,CC1=CCC2CC1C2(C)C,1.8,3.3806858
236,CC(C)O,6.1,6.221454
257,OCC=CCl,10.3,7.440228
264,CCOCCC=O,8.8,10.567452
267,COC(C)CCO,5.4,6.876979
268,COC(C)CCOC(C)=O,4.1,6.0598874
271,CC=CCO,6.0,5.6260834
272,CC1CCCC(O)C1,6.4,2.2205775
278,COC(C)(C)CCOC(C)=O,3.8,5.3159423
