Mol_No,SMILES,actual,predict
1,CC(Cl)(Cl)Cl,2.0,2.6888244
13,BrC(Br)=C,7.0,7.3899274
14,CC(Cl)(Cl)[N+]([O-])=O,4.3,5.2123017
20,CCCC(OCC)OCC,4.6,4.806639
21,CCOC(C)OCC,4.0,4.4778643
34,C[CH]=[C]=[CH2],6.2,4.3190117
40,CC(Cl)CCl,2.9,3.6255164
64,C1COCO1,9.3,8.154313
87,CCC=C,3.9,4.292273
91,FC(Cl)=C,4.0,2.709449
95,CCOc1ccccc1Cl,4.4,7.67664
98,CCOc1ccc(Cl)cc1,4.4,5.336233
112,COc1ccccc1[N+]([O-])=O,5.5,4.309967
121,CCCCCCCCO,11.2,10.65172
122,CCCCCCC=C,2.4,4.1982026
123,CCCCCO,13.9,12.432253
130,CC(C)C(O)C(C)(C)CO.CC(C)C(O)=O,9.8,14.980449
134,[O-][N+](=O)c1ccc(F)c(F)c1F,3.5,4.2408786
143,Sc1cc(Cl)c(Cl)cc1Cl,9.1,6.56279
146,Oc1c(Cl)cc(Cl)cc1Cl,10.8,12.358974
147,[O-][N+](=O)c1ccc(Cl)c(F)c1Cl,4.2,3.3621418
161,OCC1CCC(CO)O1,18.9,17.294762
166,COc1cccc(OC)c1O,13.7,13.257463
186,NC(=O)CCl,12.8,11.118386
187,CC(=O)OC(OC(C)=O)C(Cl)=C,8.8,13.593527
189,ClC1CCCCC1=O,5.1,4.8321385
197,Clc1sccc1,8.0,3.582807
200,CC\C(=C/C)C=O,5.5,11.368904
201,CCCCC(CC)COC(C)=O,5.1,7.271229
202,CCCCC(CC)COC(=O)C=C,3.0,6.9584727
205,CCC(CC)CO,13.5,13.773139
206,CCC(=C)CC,3.5,3.6808531
216,Cc1cnccn1,10.5,8.328568
219,CCC(C)CO,14.3,13.482409
230,NC(=O)CN1CCCC1=O,11.2,14.278052
241,Cc1ccccc1N,9.4,9.830811
246,Clc1ccc(CC#N)cc1Cl,4.4,4.4100304
252,Oc1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,14.4,15.536307
269,COC(C)(C)CCO,12.9,12.622396
276,CC(C)C=C,3.8,4.697497
279,CCCCc1cccc(C)c1,1.0,0.35250932
288,COc1ccc(Cl)cc1,6.7,5.6821427
293,Sc1ccc(Cl)cc1,10.6,8.474066
295,CCN1CCOCC1,6.6,4.639782
315,O=C1c2ccccc2C(=O)c3ccccc13,4.8,4.3260384
317,CC(=C)c1ccccc1,2.4,5.784686
325,CC(C)(O)C#N,15.5,12.499994
330,CC(=O)Oc1ccccc1C(O)=O,9.7,7.8450685
337,c1ccc2nc3ccccc3cc2c1,2.0,15.9377775
343,Nc1ncnc2nc[nH]c12,14.9,13.81438
345,OCC(O)C(O)C(O)CO,36.0,22.31347
348,OC(=O)CCC=C,11.3,13.226213
378,O=Cc1ccccc1,5.3,6.209397
379,NC(=O)c1ccccc1,11.2,17.054726
384,OC(c1ccccc1)C(=O)c2ccccc2,10.7,12.680111
385,N#Cc1ccccc1,3.3,6.854171
387,s1cnc2ccccc12,8.4,3.1271493
391,OCc1ccccc1,13.7,13.58735
392,NCc1ccccc1,9.4,10.376661
397,CC(=C)C(=O)OCc1ccccc1,4.1,5.428176
400,ClCOCCl,7.6,5.759399
401,O(c1ccccc1)c2cccc(Oc3cccc(Oc4ccccc4)c3)c2,5.1,6.431456
402,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,13.8,13.048391
406,[Br],0.0,6.1827617
418,CC(=O)C(C)=O,6.8,7.5600305
441,ClC(Cl)(Cl)Cl,0.6,2.0131342
455,Clc1ccccc1,2.0,3.2503352
459,CSCCl,2.0,2.7697427
463,FC(F)=C(F)Cl,0.0,1.8276755
466,C1CC[C@@H]2CCCC[C@@H]2C1,0.0,1.775775
474,N#CC#N,0.0,16.57172
484,OC1CCCCC1,13.5,11.442614
488,C1CCC(CC1)c2ccccc2,1.0,1.1124861
492,C1C=CC=C1,2.0,2.6038039
502,CC(=C)C1CCC(=CC1)C,4.3,3.8301048
508,CC(CCl)OC(C)CCl,5.1,5.4101496
510,ClCCOCCCl,5.7,5.759399
520,CC(C)CCCCOC(=O)c1ccccc1C(=O)OCCCCC(C)C,3.4,2.365319
524,CC(C)O[P](F)(=O)OC(C)C,5.9,7.143451
540,CCCCNCCCC,4.3,3.3590167
550,COC(Cl)Cl,6.5,5.8794208
556,CCOCC,4.6,5.063742
562,CCOC(=O)CCC(=O)OCC,8.7,6.798067
563,CCO[S](=O)(=O)OCC,5.1,5.6660085
564,CCSCC,2.0,5.675047
565,CCSSCC,5.7,5.675047
577,CCCOCCOCCO,11.3,12.857609
592,CNC,11.2,7.4578834
600,CC(C)=C=O,4.8,7.0599594
608,C[S](C)(=O)=O,12.3,6.0028634
609,C[S](C)=O,10.2,6.3055425
612,c1ccc(cc1)C#Cc2ccccc2,3.2,4.3377714
628,CCCCCCCCCCCCO,9.3,9.773016
633,O=C1CCCCCN1,3.9,13.95155
640,CCOC(C)=O,7.2,7.472591
642,CCC#C,5.0,5.883682
643,CCOC(=O)C=C,5.5,7.131218
646,CCc1ccccc1,1.4,1.4990597
647,CCOC(=O)c1ccccc1,6.0,4.944413
648,CCBr,2.3,4.795694
649,CCCCOCC,4.7,3.4433677
660,CCOC#C,5.9,1.5641365
664,CCI,6.0,4.795694
682,ClCCCl,4.1,3.5363762
684,OCCO,26.0,15.114414
687,CCCCOC.OCCO,4.9,9.567677
699,CC(C)(C)OCCO,10.8,11.2565565
700,CCCCOCCO,12.3,8.636354
703,CC(C)COCCO,9.6,11.482456
710,C1CS1,6.5,6.462921
711,NCCN,17.0,12.306105
720,Fc1ccccc1,2.0,1.7449691
726,OC=O,14.0,14.839657
730,O=Cc1occc1,5.1,6.588655
744,CCCCCCC,0.0,1.8154403
749,OC(F)(C(F)F)C(F)(F)F,14.7,17.114
750,FC(F)=C(F)C(F)=C(F)F,0.0,7.2960505
753,Cc1c(C)c(C)c(C)c(C)c1C,0.0,4.5446935
765,S,10.2,6.1827617
768,[nH]1ccc2ccccc12,6.5,6.080126
771,IC(=C)C=C,6.2,6.925926
772,CC(C)CCOC(C)=O,7.0,6.316351
777,CC(C)CO,15.9,13.049133
778,CC(C)COC=O,6.7,6.545923
781,CC(C)=C,1.5,4.3113327
793,CC(C)OC(C)C,3.2,5.486542
796,CC(C)CC(O)=O,10.7,8.857966
797,o1cccn1,11.2,9.621141
806,Nc1cccc(Cl)c1,9.8,10.212064
807,Cc1cccc(O)c1,13.7,13.779629
817,CC(=C)C(O)=O,12.0,12.822205
821,CO,10.0,16.161308
833,CBr,2.6,5.4549108
837,COC(=O)CC#N,9.9,8.383027
838,CC1CCCCC1,1.0,1.2663734
842,CC\C(C)=N\O,7.8,11.015375
856,COC(=O)C(C)=C,5.4,8.004235
858,CCCC(C)=O,4.7,5.9385805
862,C[S](=O)(=O)c1ccccc1,7.8,4.579533
865,CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O,32.8,11.869318
872,CSC=C,6.0,5.8675804
873,C[S](=O)(=O)C=C,4.8,6.2610707
880,ICI,5.5,6.1827617
885,ClCNCCl,8.0,6.2753444
893,CC(=O)N1CCCC1=O,8.3,6.6105185
899,CCCCN,8.0,10.409052
908,CN(C)Cl,7.9,4.445723
930,[O-][N+](=O)c1ccccc1,3.1,4.549724
931,CC[N+]([O-])=O,4.5,5.3436465
933,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,10.9,2.392817
937,CCCCCCCCCc1ccccc1O,9.2,11.144982
953,CCCCCCCCCCCCCCCCCC,0.0,0.27957773
956,CCCCCCCC(O)=O,8.2,8.400288
957,CCCCCCCCOC(C)=O,5.1,5.189114
959,CCCCCCCC\C=C/CCCCCCCCO,8.0,9.895167
962,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.0,0.35038882
964,ClC(=O)C(Cl)=O,7.5,7.050766
974,[O-][N+](=O)c1ccc(Cl)cc1,3.9,3.7448192
977,OC\C=C\c1ccc(O)cc1,17.3,16.846464
983,Cc1ccc(cc1)[N+]([O-])=O,3.6,3.8775625
997,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0,0.7753118
1014,C1CCNCC1,8.2,5.5185122
1017,O=CC#C,8.7,9.866889
1018,CCC=O,6.9,7.554325
1019,O=CC1CO1,9.8,9.471238
1022,CCC(=O)OC(=O)CC,7.7,6.8258705
1023,CCC#N,5.5,5.5802045
1027,CCCOC=O,8.6,7.456111
1030,CC1COC(=O)O1,4.1,5.4588194
1040,COCC(C)OC(C)=O,9.8,7.333325
1046,C[C@@H]1CCC(=C(C)C)C(=O)C1,5.5,7.0984883
1053,[nH]1cccc1,10.0,9.779362
1058,O=C1N[S](=O)(=O)c2ccccc12,9.8,5.784541
1065,Cc1c[nH]c2ccccc12,6.2,7.18595
1066,NCCCCNCCCN,12.0,17.312414
1067,CCCCCCCCCCCCCCCCCC(O)=O,5.5,2.511276
1073,Nc1ccc(cc1)[S](N)(=O)=O,10.7,12.513918
1075,N#CSC#N,0.0,7.0548244
1078,CC(=O)OC(C)(C)C,6.0,6.966889
1082,ClC(Cl)=C(Cl)Cl,0.0,4.44794
1084,C1CCOC1,8.0,6.175261
1086,C1CCc2ccccc2C1,2.9,4.339847
1088,C1CCSCC1,8.9,4.2040906
1091,CN(C)C(=O)N(C)C,11.0,8.734169
1096,SC#N,10.9,10.444248
1097,OCCSCCO,19.8,18.689793
1106,Cc1ccccc1,2.0,3.7998788
1111,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,7.4,7.5144467
1116,ClC(Cl)(Cl)C#N,6.1,2.772048
1125,CCCCCCCCCCCCCO,9.0,9.563194
1126,OCCN(CCO)CCO,21.0,17.895155
1128,CCN(CC)CC,1.0,4.795694
1132,CCO[P](=O)(OCC)OCC,9.2,5.5523314
1157,CCCCOC=C,5.1,3.9699283
1158,CCCCSC=C,5.4,3.43145
1161,ClC=C,2.4,3.3711283
1170,CCC(=O)OC=C,4.7,6.6107306
