index,smiles,experimental,predicted,residual
10,Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,-5.733952,1.103952045440674
23,ClCCCl,-1.06,-1.3499827,0.289982738494873
30,Brc1cc(Br)cc(Br)c1,-5.6,-3.1031754,-2.4968245983123776
31,Clc1cc(Cl)cc(Cl)c1,-4.48,-5.302674,0.8226738166809078
39,CCNC(=S)NCC,-1.46,-2.5639532,1.103953161239624
44,C1C=CCC=C1,-2.06,-1.8947529,-0.16524713993072515
49,Cc1ccc(C)c2ccccc12,-4.14,-3.949279,-0.19072093009948698
51,C=CCC=C,-2.09,-1.6185396,-0.4714604282379149
56,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.999,-4.89266,0.8936601409912108
59,CCCCBr,-2.37,-2.2970493,-0.07295071601867686
70,ClCC(C)C,-2.0,-2.8440983,0.8440983295440674
76,CCCCl,-1.47,-1.7881908,0.3181908416748047
78,CCCCCCCCC=C,-5.51,-5.2680407,-0.24195934295654276
83,CCCCCC#C,-3.01,-2.9089634,-0.1010365581512449
86,CCCCC=C,-3.23,-2.7776644,-0.4523355770111084
88,CCCCC#C,-2.36,-2.053631,-0.3063689327239989
96,Cc1cccc2c1ccc3ccccc32,-5.85,-7.111307,1.2613071441650394
101,CCCN(=O)=O,-0.8,-1.3128188,0.5128187656402587
107,CCCCCCC=C,-4.44,-4.8847284,0.44472843170165977
109,CCCCCCCCCCCCCCCO,-6.35,-7.5005035,1.1505035400390629
113,CC(O)c1ccccc1,-0.92,-2.4997141,1.5797141361236573
128,Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl ,-6.47,-6.4789267,0.008926658630371342
136,Clc1cccc(Cl)c1c2c(Cl)cccc2Cl ,-7.39,-5.386392,-2.003607883453369
138,CCC(C)(C)C,-3.55,-2.4913778,-1.0586221694946287
139,CCCC(C)(C)C,-4.36,-2.7536962,-1.6063037967681888
140,CCCC(C)(C)CO,-1.52,-1.4362203,-0.08377971172332765
141,CC(C)(C)CO,-0.4,-0.8976516,0.49765161275863645
156,Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-6.01,-5.7873425,-0.22265745162963846
158,Oc1c(Cl)ccc(Cl)c1Cl,-2.64,-2.6768732,0.03687320709228503
170,Oc1c(Cl)cc(Cl)cc1Cl,-2.34,-2.9276662,0.5876661872863771
174,CC(C)CC(C)(C)O,-0.92,-1.1099399,0.1899399328231811
178,Cc1ccc(O)c(C)c1,-1.19,-2.143661,0.9536610221862794
192,Brc1ccc2ccccc2c1,-4.4,-4.4764214,0.07642135620117152
199,COc1ccccc1Cl,-2.46,-3.3682754,0.9082754039764405
209,CCC(CC)CO,-1.17,0.056634165,-1.2266341653466224
210,CCCCC(CC)CO,-2.11,-0.6750212,-1.4349788284301757
218,CCCCC(C)O,-0.89,-1.3181957,0.42819570064544676
220,Oc2ncc1nccnc1n2,-1.947,-0.78519344,-1.1618065567016602
240,CCCC(C)CO,-1.11,-0.4538562,-0.656143800020218
243,CC(C)CO,0.1,-0.43479952,0.5347995221614837
244,CC(C)C,-2.55,-1.7629737,-0.7870263338088987
247,CC1CCCO1,0.11,-1.9226013,2.032601342201233
260,CC(C)(C)CCO,-0.5,-0.98304445,0.48304444551467896
265,Oc1ccc(Cl)c(Cl)c1,-1.25,-1.8988748,0.6488747596740723
270,Cc1cc(C)cc(O)c1,-1.4,-2.2209048,0.82090482711792
274,c1c(Cl)cccc1c2ccccc2,-4.88,-5.503692,0.6236921501159669
277,O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.47,-3.5302744,-0.9397256088256833
286,CC(C)C(C)O,-0.18,-0.62526023,0.44526023387908936
289,CCC(C)CCO,-0.71,-0.3227174,-0.3872826015949249
294,CC(C)CCO,-0.51,-0.6616825,0.15168248653411864
296,CCCCC(C)CC,-5.16,-2.7068884,-2.453111562728882
298,CCC(C)CC,-3.68,-2.1574886,-1.5225114154815675
299,Cc1cccc(O)c1,-0.68,-1.7146009,1.034600920677185
306,Clc1ccc(cc1)c2ccc(Cl)cc2 ,-6.56,-4.404907,-2.1550927734374996
308,Cc1ccc(Br)cc1,-3.19,-3.1203365,-0.06966346740722651
309,COc1ccc(Cl)cc1,-2.78,-4.0809364,1.3009364318847658
321,Cc1ccc(cc1)c2ccccc2,-4.62,-4.4099903,-0.2100096893310548
323,Cc1ncnc2nccnc12,-0.466,-0.777504,0.311504026889801
327,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,-2.593,-2.4393818,-0.15361816215515134
