index,smiles,experimental,predicted,residual
0,ClCC(Cl)(Cl)Cl,-2.18,-2.5916982,0.4116981697082518
5,CC(Cl)Cl,-1.29,-1.8358525,0.5458525037765503
7,CCOC(C)OCC,-0.43,-1.5178783,1.087878293991089
9,C1CCc2ccccc2C1,-4.37,-2.44798,-1.9220200729370118
28,O=N(=O)c1ccccc1N(=O)=O,-3.1,-2.4769988,-0.6230011940002442
41,Cc1cc(C)c2ccccc2c1,-4.29,-4.102258,-0.18774179458618168
43,Oc1ccc(O)cc1,-0.17,-1.4603649,1.2903649377822877
62,Brc1cccc2ccccc12,-4.35,-3.8788102,-0.4711898326873776
69,ClCCBr,-1.32,-1.1605309,-0.15946907520294196
73,CCCCCCCl,-3.12,-4.5954175,1.4754174995422362
77,CCCCCCCCCCO,-3.63,-3.668016,0.038015956878662216
79,CCCCCCCCCCCCO,-4.8,-5.468295,0.6682950973510744
81,CCCCCCCO,-1.81,-1.7952832,-0.014716801643371635
82,CCCCCC=C,-3.73,-3.0539267,-0.6760732936859131
84,CCCCCCCCCCCCCCCCO,-7.0,-8.006224,1.0062236785888672
90,CCCCCCCI,-4.81,-4.7294207,-0.08057933807373008
97,Cn1ccc(=O)[nH]c1=O,-0.807,-2.9968839,2.1898838691711426
104,CCCCCCCC#C,-4.24,-4.7507315,0.5107314682006834
108,CCCCCCC#C,-3.66,-4.8249125,1.1649125480651854
118,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,-8.01,-6.3043833,-1.7056167221069334
125,Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,-7.21,-9.385214,2.175213851928711
131,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl ,-8.71,-5.1269345,-3.5830654716491708
132,Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,-6.57,-7.238306,0.6683060455322263
133,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-7.32,-6.6840963,-0.6359036636352542
135,CC(C)CCC(C)(C)C,-5.05,-4.558342,-0.4916580200195311
144,Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl ,-7.66,-7.9271703,0.26717027664184556
145,Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl ,-7.39,-8.55445,1.1644500350952152
148,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25,-5.715537,-1.5344629287719727
155,Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-3.37,-3.9761357,0.6061357307434081
163,Cc1cc2ccccc2cc1C,-4.72,-3.5808172,-1.139182777404785
164,CCC(C)C(C)C,-4.28,-4.0060134,-0.27398660659790064
169,Clc1ccc(cc1)c2c(Cl)cccc2Cl ,-6.14,-5.251289,-0.8887111091613766
172,Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-3.22,-3.1815739,-0.03842613220214863
173,Oc1ccc(Cl)cc1Cl,-1.55,-3.53821,1.9882099151611328
177,CC(C)CC(C)C,-4.26,-2.6330376,-1.626962432861328
181,Clc1ccc(cc1)c2ccccc2Cl ,-5.28,-5.246304,-0.03369596481323267
185,Cc1cccc(C)c1O,-1.29,-2.129731,0.8397309398651123
193,CC(C)Br,-1.59,-2.0147405,0.4247404670715331
196,CC=CC=O,0.32,0.22463068,0.0953693163394928
211,CCCC=C(CC)C=O,-2.46,0.14636369,-2.606363690495491
212,CCC(CC)C=O,-1.52,-0.72238207,-0.7976179313659668
214,CCc1ccc2ccccc2c1,-4.29,-3.7119677,-0.5780322933197022
223,CC(C)c1ccccc1C,-3.76,-3.22961,-0.5303900337219236
227,CCC(=C)C,-2.73,-2.1773055,-0.5526945400238037
228,CCCC(=C)C,-3.03,-2.6552086,-0.37479141235351543
234,CCC(C)(C)O,0.15,-0.6089998,0.7589997887611389
238,Cc1ccc2ccccc2c1,-3.77,-3.7330012,-0.03699876785278322
239,CCCC(C)C,-3.74,-3.374135,-0.3658649826049807
250,CCCCCCCC(C)O,-2.74,-2.2874265,-0.45257352828979514
251,CCCCCCCC(=O)C,-2.58,-2.769953,0.1899530124664306
266,Cc1ccc(O)cc1C,-1.38,-2.2152874,0.8352874469757081
281,CCCC(O)CC,-0.8,-0.7084698,-0.09153019189834599
285,CC(C)C=C,-2.73,-1.9554812,-0.7745188283920288
300,CCCCCC(O)CC,-1.98,-2.110716,0.1307161045074463
302,CCC(O)CC,-0.24,-0.57055557,0.33055556774139405
310,Oc1ccc(Cl)cc1,-0.7,-3.1011562,2.4011562347412108
311,Cc1ccc(Cl)cc1,-3.08,-3.3350658,0.2550658416748046
314,CCCC(=O)CCC,-1.3,-1.0908356,-0.20916442871093754
316,Oc1ccncc1,1.02,0.32429373,0.6957062673568726
326,O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,-2.253,-1.9027792,-0.3502207784652711
329,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766,-1.0451123,-1.7208877477645874
338,O=C1NC(=O)NC(=O)C1(CC)C(C)C,-2.148,-2.1983325,0.05033254814147936
350,Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02,-8.987448,1.9674477386474614
357,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,-6.237,-4.1341114,-2.102888595581055
360,COP(=O)(NC(C)=O)SC ,0.54,-0.67728055,1.2172805452346802
365,CC(=O)c1ccccc1,-1.28,-2.1063137,0.8263137054443359
370,Nc1ncnc2nc[nH]c12 ,-2.12,-0.8808458,-1.239154214859009
389,Cc2c(N)c(=O)n(c1ccccc1)n2C,-0.624,-0.41941246,-0.20458753609657288
408,O=C1NC(=O)NC(=O)C1(CC)CC,-2.4,-1.8951739,-0.5048260927200316
413,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,-4.883,-5.9630036,1.0800036354064941
430,N#Cc1ccccc1,-1.0,-2.2623363,1.262336254119873
440,c1ccc(cc1)c2ccccc2,-4.345,-4.554433,0.20943286895751978
445,Brc1ccccc1,-2.55,-2.9062912,0.35629124641418475
450,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09,-6.2591305,0.16913047790527358
451,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c2ccc(Br)cc2 ,-4.93,-3.3173401,-1.612659864425659
458,CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O ,-2.647,-2.2660413,-0.38095872116088847
475,CNC(=O)Oc1cccc2ccccc12,-3.224,-3.3308418,0.1068417797088621
477,c1c(NC(=O)OC(C)C(=O)NCC)cccc1,-1.83,-2.467472,0.6374720764160156
479,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736,-5.016308,-0.7196921691894529
491,CN(C)C=Nc1ccc(Cl)cc1C,-2.86,-5.1247287,2.2647286796569825
495,Clc1ccccc1,-2.38,-4.298518,1.918518180847168
497,ClCC,-1.06,-1.2560859,0.19608587265014643
499,CC(C)OC(=O)Nc1cccc(Cl)c1,-3.38,-3.8413897,0.46138965606689464
504,CN(C)C(=O)Nc1ccc(C)c(Cl)c1,-3.46,-3.519017,0.059016981124877965
507,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,-5.43,-4.7905016,-0.6394984054565427
516,CC(C)=CCCC(C)=CC(=O),-2.06,-0.71027374,-1.3497262573242188
518,Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,-3.499,-4.0773487,0.5783487091064452
522,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C ,-4.21,-4.2590566,0.04905656814575199
525,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 ,-2.84,-3.2918754,0.4518753623962404
526,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-3.15,-5.2959123,2.145912265777588
534,C1CCCCC1,-3.1,-2.9207551,-0.17924485206604013
535,OC1CCCCC1,-0.44,-2.6377225,2.1977224922180176
539,O=C2NC(=O)C1(CCCCC1)C(=O)N2,-3.06,-2.5058904,-0.5541096305847169
541,OC1CCCCCCC1,-1.29,-1.5798489,0.2898488855361938
543,C1CCCC1,-2.64,-2.9207551,0.28075514793395984
548,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.337,-7.9166474,0.5796474342346194
558,CCCCSP(=O)(SCCCC)SCCCC,-5.14,-2.6507745,-2.489225521087646
568,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,-6.34,-6.2899857,-0.05001434326171861
572,o1c2ccccc2c3ccccc13,-4.6,-3.726634,-0.8733659744262692
590,COc2ccc(Oc1ccc(NC(=O)N(C)C)cc1)cc2,-4.16,-3.3389504,-0.8210496044158937
591,Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2,-6.02,-5.3672347,-0.6527652931213375
593,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,-4.081,-4.391159,0.3101590576171871
596,c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1,-6.637,-5.884768,-0.7522319908142086
597,CC(C)OC(C)C,-1.1,-1.6518424,0.5518423557281493
602,CCCCc1c(C)nc(nc1O)N(C)C ,-2.24,-3.047517,0.8075170612335203
605,CSC,-0.45,-1.7319149,1.2819148778915406
615,O(c1ccccc1)c2ccccc2,-3.96,-2.9213336,-1.0386664485931396
617,C(c1ccccc1)c2ccccc2,-4.08,-2.5818253,-1.4981747436523438
618,CCCOCCC,-1.62,-1.2550771,-0.36492287635803233
626,Cn2c(=O)n(C)c1ncn(CC(O)CO)c1c2=O,-0.17,-1.0678518,0.8978517818450927
628,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.18,-6.136063,-0.04393690109252901
631,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,-5.24,-4.8606596,-0.379340400695801
636,c1(OC)ccc(CC=C)cc1,-2.92,-2.323611,-0.5963889789581298
652,CCOC(=O)c1ccccc1,-2.32,-2.4735746,0.15357463836669938
654,CCOC(=O)C=Cc1ccccc1,-3.0,-3.36781,0.3678100109100342
661,CCCOC(=O)CCC,-1.75,-1.4883325,-0.26166749000549316
673,COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,-3.571,-2.6729662,-0.8980337581634523
690,CCN(Cc1c(F)cccc1Cl)c2c(cc(cc2N(=O)=O)C(F)(F)F)N(=O)=O,-6.78,-5.1915584,-1.5884416389465335
692,c1ccc2c(c1)c3cccc4cccc2c34,-6.0,-7.62419,1.624189853668213
694,Fc1ccccc1,-1.8,-2.330902,0.530902099609375
696,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.32,-3.3203557,0.0003556537628175427
716,c1cc(O)c(O)c2OCC3(O)CC4=CC(=O)C(O)=CC4=C3c21,-2.7,-3.216185,0.5161850929260252
718,CCCCCCC,-4.53,-4.7729073,0.24290725708007788
723,Cc1c(C)c(C)c(C)c(C)c1C,-5.23,-2.624063,-2.6059369850158696
724,CCCCCC,-3.84,-2.8295426,-1.010457363128662
736,C1Cc2ccccc2C1,-3.04,-2.0589018,-0.9810982131958008
737,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O ,-3.586,-3.6969614,0.11096140289306655
740,c2ccc1NCCc1c2 ,-1.04,-1.9793804,0.9393803691864013
741,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-1.23,-2.1694603,0.9394602966308594
746,Oc1c(I)cc(C#N)cc1I,-3.61,-2.9050996,-0.7049003696441649
754,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194,-5.284333,1.0903332290649415
755,Nc1nc(O)nc2nc[nH]c12 ,-3.401,-1.3340142,-2.066985822677612
789,c1c(OC)c(OC)C2C(=O)OCC2c1,-1.899,-2.7297149,0.8307148704528808
792,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.24,-3.7903717,0.5503716564178465
793,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,-5.35,-4.3379145,-1.0120855331420895
813,CCCCOC,-0.99,-1.4688567,0.47885669231414796
814,CCCOC(=O)CC,-0.82,-0.8249828,0.004982821941375781
817,COC(=O)c1cc(O)c(O)c(O)c1 ,-1.24,-1.8169271,0.5769270753860474
824,CCCC(=O)OCC,-1.36,-1.2398887,-0.12011133193969736
825,CCC(=O)OC,-0.14,-0.6629109,0.5229108786582947
841,Fc1cccc(Br)c1,-2.67,-2.443292,-0.22670809745788567
842,Nc1cc(nc(N)n1=O)N2CCCCC2 ,-1.989,-2.4860127,0.49701269721984853
844,Cc1cccc(N)c1,-0.85,-2.1589117,1.3089117050170898
853,CCN(CC)c1ccccc1,-3.03,-2.87069,-0.15930989265441875
855,CN(C)c1ccccc1,-1.92,-2.7249436,0.8049436378479005
887,Nc1ccccc1O,-0.72,-0.6470663,-0.07293370485305783
890,Clc1ccccc1I,-3.54,-3.7123544,0.17235442161560055
892,CCCCCCCC,-5.24,-4.698726,-0.541273822784424
896,COc1ccccc1O,-1.96,-1.7082158,-0.25178416728973385
901,CCCN(CCC)c1c(cc(cc1N(=O)=O)S(N)(=O)=O)N(=O)=O,-5.16,-4.3177724,-0.8422276115417482
902,c1cc2ccc(OC)c(CC=C(C)(C))c2oc1=O ,-4.314,-4.8367214,0.5227214202880859
907,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.281,-2.8315277,0.5505277099609374
913,Nc1ccc(O)cc1,-0.8,-1.0940382,0.29403824806213374
916,Nc1ccc(cc1)c2ccc(N)cc2,-2.7,-2.5801737,-0.11982626914978045
918,Brc1ccc(I)cc1,-4.56,-2.960084,-1.5999160385131832
920,Nc1ccc(Cl)cc1,-1.66,-3.025571,1.36557110786438
922,Clc1ccc(I)cc1,-4.03,-4.448532,0.41853210449218725
925,CCCCN(CC)C(=O)SCCC,-3.53,-2.064893,-1.4651069927215574
935,CCCCCc1ccccc1,-4.64,-4.6482277,0.008227691650390945
942,c1ccc2c(c1)ccc3ccccc32,-5.26,-6.473775,1.2137749099731447
944,CCOc1ccccc1,-2.33,-2.206491,-0.12350900650024421
953,NC(=S)Nc1ccccc1,-1.77,-1.0984716,-0.6715283584594727
959,O=C1NC(=O)c2ccccc12 ,-2.61,-2.7575417,0.14754165649414075
973,Oc1ccc(cc1)N(=O)=O,-0.74,-2.157053,1.417052993774414
974,Cc1ccc(cc1)N(=O)=O,-2.49,-2.723035,0.23303509712219217
977,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,-3.18,-3.9030595,0.7230594825744627
982,CC12CC2(C)C(=O)N(C1=O)c3cc(Cl)cc(Cl)c3,-4.8,-3.5070512,-1.2929487705230711
983,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42,-4.31163,-0.10837022781372063
986,CC(C)N(C(=O)CCl)c1ccccc1 ,-2.48,-4.966853,2.486853141784668
988,CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0,-3.6269033,0.6269032955169678
991,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.493,-4.7067375,1.213737518310547
999,CCCc1ccccc1,-3.37,-3.3996556,0.029655580520629776
1008,Cc1ccc(C)cc1,-2.77,-2.383682,-0.3863179874420166
1010,NC(=O)c1cnccn1,-0.667,0.23285958,-0.8998595817089081
1012,c1cc2ccc3cccc4ccc(c1)c2c34,-6.176,-8.125767,1.9497667541503905
1013,c1ccnnc1,1.1,0.41945168,0.6805483162403108
1042,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,-5.36,-4.2378078,-1.122192249298096
1055,CSc1nc(nc(n1)N(C)C)N(C)C,-2.676,-3.3336835,0.6576834907531737
1056,OCC(O)C(O)C(O)C(O)CO,1.09,0.18416815,0.9058318549394608
1065,OCC2OC(OC1(CO)OC(CO)C(O)C1O)C(O)C(O)C2O ,0.79,-0.41933268,1.2093326830863953
1066,NC(=N)NS(=O)(=O)c1ccc(N)cc1 ,-1.99,-1.4944928,-0.495507230758667
1084,CCCCCCCCCCCCCC,-7.96,-6.4744873,-1.4855126953125
1087,C1CCOCC1,-0.03,-1.2258626,1.1958626222610473
1088,CN(C)C(=O)N(C)C ,0.94,-0.32155597,1.2615559720993041
1101,NC(=S)N,0.32,-0.74928975,1.0692897510528565
1102,CN(C)C(=S)SSC(=S)N(C)C ,-3.9,-3.812742,-0.08725800514221183
1103,Cc1c[nH]c(=O)[nH]c1=O ,-1.506,-2.0296848,0.5236847820281982
1106,CC(C)(C)Cc1ccccc1,-4.15,-4.371009,0.2210088729858395
1122,ClC=C(Cl)Cl,-1.96,-1.3053195,-0.6546804523468017
1137,O=c2[nH]c(=O)c1[nH]c(=O)[nH]c1[nH]2 ,-3.93,-1.6456236,-2.2843764352798464
1138,CCCCC=O,-0.85,-1.3559358,0.50593581199646
