,0,1,2,3,4,5,6
0,2,2,2,ClC(Cl)C(Cl)Cl,2,-1.74,-1.5180499999999997
1,3,3,3,ClCC(Cl)Cl,3,-1.48,-1.4833999999999998
2,6,6,6,ClC(=C)Cl,6,-1.64,-2.674625
3,12,12,12,Cc1cccc(C)c1C,12,-3.2,-2.5328999999999993
4,25,25,25,FC(F)(Cl)C(F)(F)Cl,25,-2.74,-2.5188350000000046
5,29,29,29,CC1CO1,29,-0.59,-1.350014999999998
6,33,33,33,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,33,-2.89,-2.7981850000000015
7,47,47,47,CCc1ccc(CC)cc1,47,-3.75,-2.7887299999999975
8,54,54,54,c1cnc2c(c1)ccc3ncccc23,54,-2.68,-5.0571150000000005
9,55,55,55,CC12CCC(CC1)C(C)(C)O2,55,-1.74,-1.6724499999999947
10,58,58,58,CC(C)CBr,58,-2.43,-2.4689049999999986
11,60,60,60,CCCCCCCBr,60,-4.43,-4.371729999999991
12,63,63,63,CCCCCCCCBr,63,-5.06,-4.403729999999991
13,65,65,65,CCCBr,65,-1.73,-1.8339500000000009
14,66,66,66,CCCCO,66,0.0,-0.9430849999999998
15,67,67,67,CCC=C,67,-1.94,-2.0743550000000024
16,71,71,71,CCCCCl,71,-2.03,-2.407790000000005
17,72,72,72,CCCCCCCCl,72,-4.0,-3.9697300000000006
18,92,92,92,CCCI,92,-2.29,-1.964899999999999
19,94,94,94,Cc1cccc2c1Cc3ccccc32,94,-5.22,-2.7872699999999977
20,100,100,100,O=N(=O)c1cccc2ccccc12,100,-3.54,-3.9562683333333344
21,106,106,106,CCCCCCCCO,106,-2.39,-3.5414799999999946
22,110,110,110,CCCCCO,110,-0.6,-1.0994849999999996
23,120,120,120,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,120,-8.6,-7.079182499999996
24,137,137,137,CCC(C)(C)CO,137,-1.04,-0.52175880952381
25,165,165,165,Cc1cccnc1C,165,0.38,-1.8788650000000018
26,168,168,168,Oc1cc(Cl)c(Cl)cc1Cl,168,-2.21,-3.2164999999999964
27,182,182,182,Clc1ccc(cc1)c2ccccc2Cl ,182,-5.25,-5.230363333333316
28,184,184,184,Cc1ccc2cc(C)ccc2c1,184,-4.89,-3.927602499999998
29,198,198,198,CCC(C)(C)Cl,198,-2.51,-2.5429800000000027
30,204,204,204,CC(C)Cl,204,-1.41,-1.6492100000000007
31,208,208,208,CCc1ccccn1,208,0.51,-2.8305349999999976
32,213,213,213,CCCCC(CC)C=O,213,-2.13,-1.6679200000000023
33,215,215,215,CCc1ccccc1C,215,-3.21,-3.033384999999997
34,221,221,221,Oc1ccccn1,221,1.02,-1.678935000000002
35,231,231,231,CCCC(C)(C)O,231,-0.49,-1.2611000000000006
36,235,235,235,CCC(C)C,235,-3.18,-2.759959999999997
37,237,237,237,CCCCCC(C)C,237,-5.08,-3.3075850000000018
38,248,248,248,Oc1ccc2ccccc2c1,248,-2.28,-4.069984999999993
39,249,249,249,CC(C)N(=O)=O,249,-0.62,-1.317330000000002
40,254,254,254,CCCC(C)O,254,-0.29,-0.9177700000000014
41,256,256,256,OCCOc1ccccc1,256,-0.7,-2.59084666666667
42,259,259,259,CCCCCCCCCC(C)O,259,-2.94,-3.3446099999999976
43,261,261,261,CC(O)C(C)(C)C,261,-0.62,-0.821995
44,273,273,273,COc1cccc(Cl)c1,273,-2.78,-3.296199999999995
45,275,275,275,Oc1cccc(Cl)c1,275,-0.7,-2.072069999999996
46,280,280,280,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,280,-6.301,-5.764235
47,290,290,290,CCC(C)C(=O)C,290,-0.67,-0.7195749999999999
48,291,291,291,CCCCC(C)(O)CC,291,-1.6,-1.4107750000000028
49,292,292,292,CCCC(C)(O)CC,292,-0.98,-1.226810000000001
50,305,305,305,O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,305,-4.907,-4.115725000000009
51,307,307,307,Oc1ccc(Br)cc1,307,-1.09,-3.0263450000000005
52,312,312,312,CCc1ccc(C)cc1,312,-3.11,-3.1045499999999966
53,318,318,318,COc1ncnc2nccnc12 ,318,-1.11,-1.3057550000000029
54,319,319,319,CC(C)CC(C)O,319,-0.8,-0.8578758333333328
55,331,331,331,Oc2ccc1CCCCc1c2 ,331,-1.99,-2.5549499999999976
56,332,332,332,Cc1c(C)c2c3ccccc3ccc2c4ccccc14,332,-7.01,-6.821694999999995
57,334,334,334,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,334,-1.708,-2.106067666666667
58,342,342,342,O=C1NC(=O)NC(=O)C1(C)CC,342,-1.228,-1.9418511666666667
59,346,346,346,Nc3cc2c1ccccc1ccc2c4ccccc34 ,346,-6.2,-6.730179999999997
60,352,352,352,Cc2cnc1cncnc1n2,352,-0.854,-1.4143016666666677
61,354,354,354,Cc1c2ccccc2c(C)c3ccccc13,354,-6.57,-4.054706999999998
62,355,355,355,c3ccc2c(O)c1ccccc1cc2c3 ,355,-4.73,-4.675754999999997
63,359,359,359,C1=Cc2cccc3cccc1c23,359,-3.96,-5.229894999999998
64,361,361,361,CC(=O)N,361,1.58,0.3570816666666669
65,371,371,371,CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) ,371,-3.48,-3.8690033333333385
66,380,380,380,CN(C)c1nc(nc(n1)N(C)C)N(C)C,380,-3.364,-2.3959599999999983
