,0,1,2,3,4,5,6
0,0,0,0,ClCC(Cl)(Cl)Cl,0,-2.18,-2.482990000000001
1,5,5,5,CC(Cl)Cl,5,-1.29,-1.5684500000000015
2,7,7,7,CCOC(C)OCC,7,-0.43,-1.5213800000000015
3,9,9,9,C1CCc2ccccc2C1,9,-4.37,-2.5296350000000003
4,28,28,28,O=N(=O)c1ccccc1N(=O)=O,28,-3.1,-2.4639719999999987
5,41,41,41,Cc1cc(C)c2ccccc2c1,41,-4.29,-4.596230000000001
6,43,43,43,Oc1ccc(O)cc1,43,-0.17,-1.5171799999999995
7,62,62,62,Brc1cccc2ccccc12,62,-4.35,-4.039375
8,69,69,69,ClCCBr,69,-1.32,-1.273999999999999
9,73,73,73,CCCCCCCl,73,-3.12,-3.732069999999997
10,77,77,77,CCCCCCCCCCO,77,-3.63,-3.4689149999999955
11,79,79,79,CCCCCCCCCCCCO,79,-4.8,-4.644489999999999
12,81,81,81,CCCCCCCO,81,-1.81,-2.570629999999997
13,82,82,82,CCCCCC=C,82,-3.73,-3.1380400000000033
14,84,84,84,CCCCCCCCCCCCCCCCO,84,-7.0,-7.367623000000006
15,90,90,90,CCCCCCCI,90,-4.81,-4.2497599999999895
16,97,97,97,Cn1ccc(=O)[nH]c1=O,97,-0.807,-2.2847800000000027
17,104,104,104,CCCCCCCC#C,104,-4.24,-4.195909999999989
18,108,108,108,CCCCCCC#C,108,-3.66,-3.8053499999999945
19,118,118,118,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,118,-8.01,-6.3988566666666635
20,125,125,125,Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,125,-7.21,-7.6700074999999925
21,131,131,131,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl ,131,-8.71,-4.40276
22,132,132,132,Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,132,-6.57,-6.327824999999997
23,133,133,133,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,133,-7.32,-5.6543600000000005
24,135,135,135,CC(C)CCC(C)(C)C,135,-5.05,-3.809840000000006
25,144,144,144,Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl ,144,-7.66,-7.063186666666666
26,145,145,145,Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl ,145,-7.39,-7.714280000000003
27,148,148,148,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,148,-7.25,-5.977778333333332
28,155,155,155,Oc1c(Cl)c(Cl)cc(Cl)c1Cl,155,-3.37,-4.0298849999999975
29,163,163,163,Cc1cc2ccccc2cc1C,163,-4.72,-4.070280000000004
30,164,164,164,CCC(C)C(C)C,164,-4.28,-3.709489999999995
31,169,169,169,Clc1ccc(cc1)c2c(Cl)cccc2Cl ,169,-6.14,-5.563674166666667
32,172,172,172,Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,172,-3.22,-2.9387799999999977
33,173,173,173,Oc1ccc(Cl)cc1Cl,173,-1.55,-3.176759999999999
34,177,177,177,CC(C)CC(C)C,177,-4.26,-2.1723700000000026
35,181,181,181,Clc1ccc(cc1)c2ccccc2Cl ,181,-5.28,-5.218608333333333
36,185,185,185,Cc1cccc(C)c1O,185,-1.29,-2.141893333333333
37,193,193,193,CC(C)Br,193,-1.59,-2.124680000000004
38,196,196,196,CC=CC=O,196,0.32,0.23099999999999998
39,211,211,211,CCCC=C(CC)C=O,211,-2.46,-0.6743483333333334
40,212,212,212,CCC(CC)C=O,212,-1.52,-0.9689650000000001
41,214,214,214,CCc1ccc2ccccc2c1,214,-4.29,-3.9990666666666583
42,223,223,223,CC(C)c1ccccc1C,223,-3.76,-3.19192
43,227,227,227,CCC(=C)C,227,-2.73,-1.9362849999999978
44,228,228,228,CCCC(=C)C,228,-3.03,-1.736933333333332
45,234,234,234,CCC(C)(C)O,234,0.15,-0.7329333333333337
46,238,238,238,Cc1ccc2ccccc2c1,238,-3.77,-4.124614999999994
47,239,239,239,CCCC(C)C,239,-3.74,-2.512861666666667
48,250,250,250,CCCCCCCC(C)O,250,-2.74,-2.7989999999999977
49,251,251,251,CCCCCCCC(=O)C,251,-2.58,-3.167104999999996
50,266,266,266,Cc1ccc(O)cc1C,266,-1.38,-2.065280000000001
51,281,281,281,CCCC(O)CC,281,-0.8,-0.9293266666666677
52,285,285,285,CC(C)C=C,285,-2.73,-2.0617300000000016
53,300,300,300,CCCCCC(O)CC,300,-1.98,-1.5908500000000034
54,302,302,302,CCC(O)CC,302,-0.24,-0.39574583333333374
55,310,310,310,Oc1ccc(Cl)cc1,310,-0.7,-2.6726299999999945
56,311,311,311,Cc1ccc(Cl)cc1,311,-3.08,-4.236204999999995
57,314,314,314,CCCC(=O)CCC,314,-1.3,-0.8113383333333334
58,316,316,316,Oc1ccncc1,316,1.02,-0.49107000000000023
59,326,326,326,O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,326,-2.253,-2.118785833333331
60,329,329,329,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,329,-2.766,-1.8186816666666672
61,338,338,338,O=C1NC(=O)NC(=O)C1(CC)C(C)C,338,-2.148,-2.246534999999994
62,350,350,350,Cc1c2ccccc2c(C)c3ccc4ccccc4c13,350,-7.02,-6.797269999999997
63,357,357,357,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,357,-6.237,-3.327650000000003
64,360,360,360,COP(=O)(NC(C)=O)SC ,360,0.54,-0.18924999999999972
65,365,365,365,CC(=O)c1ccccc1,365,-1.28,-2.2204266666666665
66,370,370,370,Nc1ncnc2nc[nH]c12 ,370,-2.12,-1.4209666666666663
67,389,389,389,Cc2c(N)c(=O)n(c1ccccc1)n2C,389,-0.624,-1.2583550000000008
68,408,408,408,O=C1NC(=O)NC(=O)C1(CC)CC,408,-2.4,-2.1351341666666643
69,413,413,413,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,413,-4.883,-4.258604999999999
70,430,430,430,N#Cc1ccccc1,430,-1.0,-2.3298249999999996
71,440,440,440,c1ccc(cc1)c2ccccc2,440,-4.345,-3.530350000000003
72,445,445,445,Brc1ccccc1,445,-2.55,-3.0854600000000016
73,450,450,450,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,450,-6.09,-5.517088333333337
74,451,451,451,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c2ccc(Br)cc2 ,451,-4.93,-2.9768150000000038
75,458,458,458,CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O ,458,-2.647,-2.45112833333333
76,475,475,475,CNC(=O)Oc1cccc2ccccc12,475,-3.224,-3.8619350000000026
77,477,477,477,c1c(NC(=O)OC(C)C(=O)NCC)cccc1,477,-1.83,-2.8969950000000013
78,479,479,479,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,479,-5.736,-5.508614999999997
79,491,491,491,CN(C)C=Nc1ccc(Cl)cc1C,491,-2.86,-3.804814999999995
80,495,495,495,Clc1ccccc1,495,-2.38,-3.5362899999999944
81,497,497,497,ClCC,497,-1.06,-1.4147500000000002
82,499,499,499,CC(C)OC(=O)Nc1cccc(Cl)c1,499,-3.38,-3.339724999999996
83,504,504,504,CN(C)C(=O)Nc1ccc(C)c(Cl)c1,504,-3.46,-3.7717999999999865
84,507,507,507,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,507,-5.43,-5.007209999999994
85,516,516,516,CC(C)=CCCC(C)=CC(=O),516,-2.06,-1.3394550000000012
86,518,518,518,Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,518,-3.499,-3.941585000000004
87,522,522,522,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C ,522,-4.21,-4.198075000000001
88,525,525,525,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 ,525,-2.84,-3.5189490000000023
89,526,526,526,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,526,-3.15,-4.620359999999994
90,534,534,534,C1CCCCC1,534,-3.1,-3.2603745238095208
91,535,535,535,OC1CCCCC1,535,-0.44,-2.658266666666666
92,539,539,539,O=C2NC(=O)C1(CCCCC1)C(=O)N2,539,-3.06,-2.499990000000001
93,541,541,541,OC1CCCCCCC1,541,-1.29,-1.765774999999999
94,543,543,543,C1CCCC1,543,-2.64,-3.2603745238095208
95,548,548,548,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,548,-7.337,-6.5635200000000085
96,558,558,558,CCCCSP(=O)(SCCCC)SCCCC,558,-5.14,-2.125400000000001
97,568,568,568,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,568,-6.34,-5.55403
98,572,572,572,o1c2ccccc2c3ccccc13,572,-4.6,-4.252924999999999
99,590,590,590,COc2ccc(Oc1ccc(NC(=O)N(C)C)cc1)cc2,590,-4.16,-2.639571666666669
100,591,591,591,Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2,591,-6.02,-4.36829999999999
101,593,593,593,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,593,-4.081,-4.785231666666666
102,596,596,596,c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1,596,-6.637,-5.0757716666666655
103,597,597,597,CC(C)OC(C)C,597,-1.1,-1.5466700000000009
104,602,602,602,CCCCc1c(C)nc(nc1O)N(C)C ,602,-2.24,-3.2044883333333365
105,605,605,605,CSC,605,-0.45,-1.444515
106,615,615,615,O(c1ccccc1)c2ccccc2,615,-3.96,-2.3821250000000003
107,617,617,617,C(c1ccccc1)c2ccccc2,617,-4.08,-2.432379999999998
108,618,618,618,CCCOCCC,618,-1.62,-0.9893499999999982
